Student,Book,Action,Date
"John Doe","The Nineteen Letters","Borrow","12/2/2025, 5:10:02 PM"
"John Doe","The Nineteen Letters","Return","12/2/2025, 5:10:16 PM"
"John Doe","The Nineteen Letters","Borrow","12/2/2025, 5:10:29 PM"
"John Doe","The Nineteen Letters","Borrow","12/2/2025, 5:10:45 PM"
"John Doe","The Nineteen Letters","Return","12/2/2025, 5:10:54 PM"
"John Doe","Bava Basra Vol 1 (2a-60b)","Borrow","12/2/2025, 5:20:40 PM"
"Simcha","Bava Kamma Vol 1 (2a-35b)","Borrow","12/2/2025, 5:21:05 PM"
"Simcha","Bava Kamma Vol 2 (36a-83a)","Borrow","12/2/2025, 5:21:20 PM"
"Simcha","Bava Kamma Vol 2 (36a-83a)","Return","12/2/2025, 5:21:38 PM"
"John Doe","The Nineteen Letters","Return","12/2/2025, 5:21:55 PM"
"John Doe","Bava Basra Vol 1 (2a-60b)","Return","12/2/2025, 5:21:59 PM"
"Simcha","Bava Kamma Vol 1 (2a-35b)","Return","12/2/2025, 5:22:03 PM"
"Betzalel Tusk","The Nineteen Letters","Borrow","12/2/2025, 5:41:09 PM"
"Betzalel Tusk","The Nineteen Letters","Borrow","12/2/2025, 5:41:21 PM"
"Betzalel Tusk","The Nineteen Letters","Return","12/2/2025, 5:41:31 PM"
"Betzalel Tusk","The Nineteen Letters","Return","12/2/2025, 5:41:35 PM"
"Betzalel","Jew Got Questions?","Borrow","12/2/2025, 5:41:58 PM"
"Betzaleltusk@gmail.com","Why Be Jewish?","Borrow","12/2/2025, 5:44:29 PM"
"Betzaleltusk@gmail.com","Why Be Jewish?","Return","12/2/2025, 5:44:38 PM"
